Sembol,Analiz_Tarihi_str,Fiyat (Son),Alis_Fiyati_AnalizGunu,Beklenen_5g_Getiri_%,Tahmini_Risk_5g,Kural_ID_5g
NIBAS,2025-10-21,21.02,21.02,11.03128301824211,8.224164660517097,combo_12
NUGYO,2025-10-21,9.11,9.11,11.03128301824211,8.224164660517097,combo_12
OBAMS,2025-10-21,43.08,43.08,11.03128301824211,8.224164660517097,combo_12
OBASE,2025-10-21,35.28,35.28,11.03128301824211,8.224164660517097,combo_12
ODAS,2025-10-21,5.11,5.11,11.03128301824211,8.224164660517097,combo_12
ODINE,2025-10-21,199.0,199.0,11.03128301824211,8.224164660517097,combo_12
ONRYT,2025-10-21,76.3,76.3,11.03128301824211,8.224164660517097,combo_12
ORGE,2025-10-21,66.4,66.4,11.03128301824211,8.224164660517097,combo_12
OTKAR,2025-10-21,442.5,442.5,11.03128301824211,8.224164660517097,combo_12
OYAKC,2025-10-21,20.9,20.9,11.03128301824211,8.224164660517097,combo_12
OZGYO,2025-10-21,2.93,2.93,11.03128301824211,8.224164660517097,combo_12
PAMEL,2025-10-21,89.95,89.95,11.03128301824211,8.224164660517097,combo_12
PAPIL,2025-10-21,15.21,15.21,11.03128301824211,8.224164660517097,combo_12
PARSN,2025-10-21,89.9,89.9,11.03128301824211,8.224164660517097,combo_12
PENGD,2025-10-21,8.54,8.54,11.03128301824211,8.224164660517097,combo_12
PENTA,2025-10-21,14.5,14.5,11.03128301824211,8.224164660517097,combo_12
PETKM,2025-10-21,16.81,16.81,11.03128301824211,8.224164660517097,combo_12
PETUN,2025-10-21,12.41,12.41,11.03128301824211,8.224164660517097,combo_12
PGSUS,2025-10-21,210.3,210.3,11.03128301824211,8.224164660517097,combo_12
POLHO,2025-10-21,16.55,16.55,11.03128301824211,8.224164660517097,combo_12
PRDGS,2025-10-21,6.07,6.07,11.03128301824211,8.224164660517097,combo_12
PRKAB,2025-10-21,31.18,31.18,11.03128301824211,8.224164660517097,combo_12
PRKME,2025-10-21,17.34,17.34,11.03128301824211,8.224164660517097,combo_12
PSDTC,2025-10-21,161.1,161.1,11.03128301824211,8.224164660517097,combo_12
PSGYO,2025-10-21,2.97,2.97,11.03128301824211,8.224164660517097,combo_12
RTALB,2025-10-21,3.79,3.79,11.03128301824211,8.224164660517097,combo_12
RUBNS,2025-10-21,19.33,19.33,11.03128301824211,8.224164660517097,combo_12
RUZYE,2025-10-21,11.89,11.89,11.03128301824211,8.224164660517097,combo_12
RYSAS,2025-10-21,15.0,15.0,11.03128301824211,8.224164660517097,combo_12
SAFKR,2025-10-21,20.3,20.3,11.03128301824211,8.224164660517097,combo_12
SAHOL,2025-10-21,77.45,77.45,11.03128301824211,8.224164660517097,combo_12
SAMAT,2025-10-21,6.21,6.21,11.03128301824211,8.224164660517097,combo_12
SANKO,2025-10-21,21.98,21.98,11.03128301824211,8.224164660517097,combo_12
SARKY,2025-10-21,14.42,14.42,11.03128301824211,8.224164660517097,combo_12
SASA,2025-10-21,3.01,3.01,11.03128301824211,8.224164660517097,combo_12
SEGMN,2025-10-21,21.14,21.14,11.03128301824211,8.224164660517097,combo_12
SEGYO,2025-10-21,4.19,4.19,11.03128301824211,8.224164660517097,combo_12
SELVA,2025-10-21,3.18,3.18,11.03128301824211,8.224164660517097,combo_12
SERNT,2025-10-21,10.0,10.0,11.03128301824211,8.224164660517097,combo_12
SEYKM,2025-10-21,5.71,5.71,11.03128301824211,8.224164660517097,combo_12
SKYMD,2025-10-21,13.29,13.29,11.03128301824211,8.224164660517097,combo_12
SMART,2025-10-21,24.28,24.28,11.03128301824211,8.224164660517097,combo_12
SMRTG,2025-10-21,26.82,26.82,11.03128301824211,8.224164660517097,combo_12
SNGYO,2025-10-21,4.86,4.86,11.03128301824211,8.224164660517097,combo_12
SRVGY,2025-10-21,2.95,2.95,11.03128301824211,8.224164660517097,combo_12
SUNTK,2025-10-21,35.26,35.26,11.03128301824211,8.224164660517097,combo_12
SURGY,2025-10-21,44.46,44.46,11.03128301824211,8.224164660517097,combo_12
SUWEN,2025-10-21,10.05,10.05,11.03128301824211,8.224164660517097,combo_12
TATGD,2025-10-21,12.1,12.1,11.03128301824211,8.224164660517097,combo_12
TCKRC,2025-10-21,43.5,43.5,11.03128301824211,8.224164660517097,combo_12
TEKTU,2025-10-21,23.52,23.52,11.03128301824211,8.224164660517097,combo_12
TEZOL,2025-10-21,12.73,12.73,11.03128301824211,8.224164660517097,combo_12
TLMAN,2025-10-21,96.25,96.25,11.03128301824211,8.224164660517097,combo_12
TMSN,2025-10-21,100.5,100.5,11.03128301824211,8.224164660517097,combo_12
TRCAS,2025-10-21,36.2,36.2,11.03128301824211,8.224164660517097,combo_12
TRILC,2025-10-21,20.48,20.48,11.03128301824211,8.224164660517097,combo_12
TSGYO,2025-10-21,7.2,7.2,11.03128301824211,8.224164660517097,combo_12
TTKOM,2025-10-21,49.7,49.7,11.03128301824211,8.224164660517097,combo_12
TUCLK,2025-10-21,9.01,9.01,11.03128301824211,8.224164660517097,combo_12
TUKAS,2025-10-21,2.62,2.62,11.03128301824211,8.224164660517097,combo_12
TUPRS,2025-10-21,176.1,176.1,11.03128301824211,8.224164660517097,combo_12
TUREX,2025-10-21,7.63,7.63,11.03128301824211,8.224164660517097,combo_12
TURGG,2025-10-21,26.84,26.84,11.03128301824211,8.224164660517097,combo_12
ULKER,2025-10-21,103.0,103.0,11.03128301824211,8.224164660517097,combo_12
ULUUN,2025-10-21,7.25,7.25,11.03128301824211,8.224164660517097,combo_12
UNLU,2025-10-21,14.16,14.16,11.03128301824211,8.224164660517097,combo_12
USAK,2025-10-21,3.49,3.49,11.03128301824211,8.224164660517097,combo_12
VAKBN,2025-10-21,23.34,23.34,11.03128301824211,8.224164660517097,combo_12
VAKFN,2025-10-21,1.83,1.83,11.03128301824211,8.224164660517097,combo_12
VAKKO,2025-10-21,63.1,63.1,11.03128301824211,8.224164660517097,combo_12
VBTYZ,2025-10-21,17.81,17.81,11.03128301824211,8.224164660517097,combo_12
VERTU,2025-10-21,35.28,35.28,11.03128301824211,8.224164660517097,combo_12
VERUS,2025-10-21,222.0,222.0,11.03128301824211,8.224164660517097,combo_12
VESBE,2025-10-21,8.5,8.5,11.03128301824211,8.224164660517097,combo_12
VESTL,2025-10-21,32.46,32.46,11.03128301824211,8.224164660517097,combo_12
VKGYO,2025-10-21,2.32,2.32,11.03128301824211,8.224164660517097,combo_12
VRGYO,2025-10-21,3.08,3.08,11.03128301824211,8.224164660517097,combo_12
YATAS,2025-10-21,33.72,33.72,11.03128301824211,8.224164660517097,combo_12
YEOTK,2025-10-21,33.0,33.0,11.03128301824211,8.224164660517097,combo_12
YIGIT,2025-10-21,24.3,24.3,11.03128301824211,8.224164660517097,combo_12
YUNSA,2025-10-21,7.29,7.29,11.03128301824211,8.224164660517097,combo_12
YYLGD,2025-10-21,9.7,9.7,11.03128301824211,8.224164660517097,combo_12
ZEDUR,2025-10-21,8.03,8.03,11.03128301824211,8.224164660517097,combo_12
ZOREN,2025-10-21,3.24,3.24,11.03128301824211,8.224164660517097,combo_12
ZRGYO,2025-10-21,22.1,22.1,11.03128301824211,8.224164660517097,combo_12
AKFYE,2025-10-21,16.79,16.79,10.399165529355066,8.657851439508633,combo_18
ASGYO,2025-10-21,11.04,11.04,10.399165529355066,8.657851439508633,combo_18
BIENY,2025-10-21,40.0,40.0,10.399165529355066,8.657851439508633,combo_18
EUPWR,2025-10-21,26.1,26.1,10.399165529355066,8.657851439508633,combo_18
FORTE,2025-10-21,71.45,71.45,10.399165529355066,8.657851439508633,combo_18
GIPTA,2025-10-21,123.5,123.5,10.399165529355066,8.657851439508633,combo_18
HATSN,2025-10-21,47.8,47.8,10.399165529355066,8.657851439508633,combo_18
KAYSE,2025-10-21,17.48,17.48,10.399165529355066,8.657851439508633,combo_18
KLSER,2025-10-21,29.08,29.08,10.399165529355066,8.657851439508633,combo_18
PLTUR,2025-10-21,24.62,24.62,10.399165529355066,8.657851439508633,combo_18
REEDR,2025-10-21,9.9,9.9,10.399165529355066,8.657851439508633,combo_18
SOKE,2025-10-21,11.12,11.12,10.399165529355066,8.657851439508633,combo_18
TARKM,2025-10-21,396.0,396.0,10.399165529355066,8.657851439508633,combo_18
TNZTP,2025-10-21,21.82,21.82,10.399165529355066,8.657851439508633,combo_18
ACSEL,2025-10-21,110.0,110.0,10.676179006711669,8.878718640080823,combo_5
AFYON,2025-10-21,12.57,12.57,10.676179006711669,8.878718640080823,combo_5
AHSGY,2025-10-21,42.82,42.82,10.676179006711669,8.878718640080823,combo_5
AKGRT,2025-10-21,6.55,6.55,10.676179006711669,8.878718640080823,combo_5
ARMGD,2025-10-21,37.0,37.0,10.676179006711669,8.878718640080823,combo_5
ARTMS,2025-10-21,51.5,51.5,10.676179006711669,8.878718640080823,combo_5
AVPGY,2025-10-21,57.2,57.2,10.676179006711669,8.878718640080823,combo_5
AYGAZ,2025-10-21,181.3,181.3,10.676179006711669,8.878718640080823,combo_5
AZTEK,2025-10-21,56.1,56.1,10.676179006711669,8.878718640080823,combo_5
BAHKM,2025-10-21,57.05,57.05,10.676179006711669,8.878718640080823,combo_5
BASGZ,2025-10-21,38.36,38.36,10.676179006711669,8.878718640080823,combo_5
BAYRK,2025-10-21,34.8,34.8,10.676179006711669,8.878718640080823,combo_5
BEGYO,2025-10-21,5.12,5.12,10.676179006711669,8.878718640080823,combo_5
BORSK,2025-10-21,22.68,22.68,10.676179006711669,8.878718640080823,combo_5
BOSSA,2025-10-21,7.61,7.61,10.676179006711669,8.878718640080823,combo_5
BURCE,2025-10-21,29.3,29.3,10.676179006711669,8.878718640080823,combo_5
CEMZY,2025-10-21,39.58,39.58,10.676179006711669,8.878718640080823,combo_5
DEVA,2025-10-21,71.85,71.85,10.676179006711669,8.878718640080823,combo_5
DMSAS,2025-10-21,8.9,8.9,10.676179006711669,8.878718640080823,combo_5
DOBUR,2025-10-21,347.0,347.0,10.676179006711669,8.878718640080823,combo_5
DURKN,2025-10-21,15.03,15.03,10.676179006711669,8.878718640080823,combo_5
ECILC,2025-10-21,88.9,88.9,10.676179006711669,8.878718640080823,combo_5
ECZYT,2025-10-21,258.0,258.0,10.676179006711669,8.878718640080823,combo_5
EKGYO,2025-10-21,19.3,19.3,10.676179006711669,8.878718640080823,combo_5
EKOS,2025-10-21,25.56,25.56,10.676179006711669,8.878718640080823,combo_5
ENDAE,2025-10-21,15.6,15.6,10.676179006711669,8.878718640080823,combo_5
ENKAI,2025-10-21,71.2,71.2,10.676179006711669,8.878718640080823,combo_5
ESCAR,2025-10-21,20.42,20.42,10.676179006711669,8.878718640080823,combo_5
ESCOM,2025-10-21,3.16,3.16,10.676179006711669,8.878718640080823,combo_5
ESEN,2025-10-21,16.26,16.26,10.676179006711669,8.878718640080823,combo_5
FONET,2025-10-21,3.01,3.01,10.676179006711669,8.878718640080823,combo_5
FORMT,2025-10-21,4.0,4.0,10.676179006711669,8.878718640080823,combo_5
FRIGO,2025-10-21,11.04,11.04,10.676179006711669,8.878718640080823,combo_5
GESAN,2025-10-21,42.88,42.88,10.676179006711669,8.878718640080823,combo_5
GLRMK,2025-10-21,184.5,184.5,10.676179006711669,8.878718640080823,combo_5
HDFGS,2025-10-21,5.08,5.08,10.676179006711669,8.878718640080823,combo_5
IDGYO,2025-10-21,3.59,3.59,10.676179006711669,8.878718640080823,combo_5
IHGZT,2025-10-21,1.77,1.77,10.676179006711669,8.878718640080823,combo_5
INFO,2025-10-21,4.47,4.47,10.676179006711669,8.878718640080823,combo_5
IPEKE,2025-10-21,68.65,68.65,10.676179006711669,8.878718640080823,combo_5
ISDMR,2025-10-21,37.36,37.36,10.676179006711669,8.878718640080823,combo_5
ISFIN,2025-10-21,17.68,17.68,10.676179006711669,8.878718640080823,combo_5
ISGYO,2025-10-21,18.89,18.89,10.676179006711669,8.878718640080823,combo_5
ISKPL,2025-10-21,8.88,8.88,10.676179006711669,8.878718640080823,combo_5
KAPLM,2025-10-21,524.5,524.5,10.676179006711669,8.878718640080823,combo_5
KLRHO,2025-10-21,163.1,163.1,10.676179006711669,8.878718640080823,combo_5
KONKA,2025-10-21,51.4,51.4,10.676179006711669,8.878718640080823,combo_5
KRPLS,2025-10-21,9.1,9.1,10.676179006711669,8.878718640080823,combo_5
KRSTL,2025-10-21,10.81,10.81,10.676179006711669,8.878718640080823,combo_5
LILAK,2025-10-21,28.34,28.34,10.676179006711669,8.878718640080823,combo_5
MAGEN,2025-10-21,25.38,25.38,10.676179006711669,8.878718640080823,combo_5
MARBL,2025-10-21,13.25,13.25,10.676179006711669,8.878718640080823,combo_5
MEPET,2025-10-21,16.1,16.1,10.676179006711669,8.878718640080823,combo_5
MIATK,2025-10-21,39.76,39.76,10.676179006711669,8.878718640080823,combo_5
MNDTR,2025-10-21,7.52,7.52,10.676179006711669,8.878718640080823,combo_5
MTRKS,2025-10-21,27.24,27.24,10.676179006711669,8.878718640080823,combo_5
NTGAZ,2025-10-21,9.71,9.71,10.676179006711669,8.878718640080823,combo_5
NUHCM,2025-10-21,245.7,245.7,10.676179006711669,8.878718640080823,combo_5
OSMEN,2025-10-21,9.55,9.55,10.676179006711669,8.878718640080823,combo_5
OSTIM,2025-10-21,3.21,3.21,10.676179006711669,8.878718640080823,combo_5
OYLUM,2025-10-21,10.64,10.64,10.676179006711669,8.878718640080823,combo_5
OYYAT,2025-10-21,53.5,53.5,10.676179006711669,8.878718640080823,combo_5
OZRDN,2025-10-21,11.95,11.95,10.676179006711669,8.878718640080823,combo_5
OZYSR,2025-10-21,32.7,32.7,10.676179006711669,8.878718640080823,combo_5
PAGYO,2025-10-21,91.4,91.4,10.676179006711669,8.878718640080823,combo_5
PATEK,2025-10-21,26.9,26.9,10.676179006711669,8.878718640080823,combo_5
PINSU,2025-10-21,13.29,13.29,10.676179006711669,8.878718640080823,combo_5
PKART,2025-10-21,80.0,80.0,10.676179006711669,8.878718640080823,combo_5
PNLSN,2025-10-21,38.04,38.04,10.676179006711669,8.878718640080823,combo_5
PNSUT,2025-10-21,12.34,12.34,10.676179006711669,8.878718640080823,combo_5
QUAGR,2025-10-21,8.86,8.86,10.676179006711669,8.878718640080823,combo_5
RALYH,2025-10-21,184.1,184.1,10.676179006711669,8.878718640080823,combo_5
RYGYO,2025-10-21,20.46,20.46,10.676179006711669,8.878718640080823,combo_5
SAYAS,2025-10-21,52.65,52.65,10.676179006711669,8.878718640080823,combo_5
SILVR,2025-10-21,2.92,2.92,10.676179006711669,8.878718640080823,combo_5
SKYLP,2025-10-21,132.0,132.0,10.676179006711669,8.878718640080823,combo_5
SOKM,2025-10-21,42.04,42.04,10.676179006711669,8.878718640080823,combo_5
TDGYO,2025-10-21,21.88,21.88,10.676179006711669,8.878718640080823,combo_5
THYAO,2025-10-21,294.5,294.5,10.676179006711669,8.878718640080823,combo_5
TMPOL,2025-10-21,216.1,216.1,10.676179006711669,8.878718640080823,combo_5
TSKB,2025-10-21,12.21,12.21,10.676179006711669,8.878718640080823,combo_5
YGGYO,2025-10-21,132.6,132.6,10.676179006711669,8.878718640080823,combo_5
YKSLN,2025-10-21,5.85,5.85,10.676179006711669,8.878718640080823,combo_5
ADGYO,2025-10-21,47.2,47.2,10.593026164355106,9.186171742644058,combo_0
AHGAZ,2025-10-21,24.72,24.72,10.593026164355106,9.186171742644058,combo_0
BORLS,2025-10-21,26.5,26.5,10.593026164355106,9.186171742644058,combo_0
BVSAN,2025-10-21,131.2,131.2,10.593026164355106,9.186171742644058,combo_0
CVKMD,2025-10-21,19.61,19.61,10.593026164355106,9.186171742644058,combo_0
CWENE,2025-10-21,23.7,23.7,10.593026164355106,9.186171742644058,combo_0
DMRGD,2025-10-21,25.9,25.9,10.593026164355106,9.186171742644058,combo_0
DOFER,2025-10-21,63.05,63.05,10.593026164355106,9.186171742644058,combo_0
EKSUN,2025-10-21,6.09,6.09,10.593026164355106,9.186171742644058,combo_0
ENERY,2025-10-21,9.26,9.26,10.593026164355106,9.186171742644058,combo_0
EYGYO,2025-10-21,4.61,4.61,10.593026164355106,9.186171742644058,combo_0
IZENR,2025-10-21,8.3,8.3,10.593026164355106,9.186171742644058,combo_0
KOPOL,2025-10-21,6.33,6.33,10.593026164355106,9.186171742644058,combo_0
KTLEV,2025-10-21,13.04,13.04,10.593026164355106,9.186171742644058,combo_0
MEKAG,2025-10-21,4.98,4.98,10.593026164355106,9.186171742644058,combo_0
MHRGY,2025-10-21,3.63,3.63,10.593026164355106,9.186171742644058,combo_0
OFSYM,2025-10-21,80.6,80.6,10.593026164355106,9.186171742644058,combo_0
SDTTR,2025-10-21,178.3,178.3,10.593026164355106,9.186171742644058,combo_0
SNICA,2025-10-21,4.99,4.99,10.593026164355106,9.186171742644058,combo_0
TATEN,2025-10-21,80.35,80.35,10.593026164355106,9.186171742644058,combo_0
ADGYO,2025-10-22,47.16,47.16,10.038258855402646,9.483495418815995,combo_16
AHGAZ,2025-10-22,24.92,24.92,10.038258855402646,9.483495418815995,combo_16
AKFYE,2025-10-22,16.87,16.87,10.038258855402646,9.483495418815995,combo_16
ASGYO,2025-10-22,11.28,11.28,10.038258855402646,9.483495418815995,combo_16
BIENY,2025-10-22,40.0,40.0,10.038258855402646,9.483495418815995,combo_16
BORLS,2025-10-22,26.3,26.3,10.038258855402646,9.483495418815995,combo_16
BVSAN,2025-10-22,125.0,125.0,10.038258855402646,9.483495418815995,combo_16
CVKMD,2025-10-22,19.78,19.78,10.038258855402646,9.483495418815995,combo_16
CWENE,2025-10-22,23.48,23.48,10.038258855402646,9.483495418815995,combo_16
DMRGD,2025-10-22,25.2,25.2,10.038258855402646,9.483495418815995,combo_16
DOFER,2025-10-22,63.3,63.3,10.038258855402646,9.483495418815995,combo_16
EKSUN,2025-10-22,6.11,6.11,10.038258855402646,9.483495418815995,combo_16
ENERY,2025-10-22,9.18,9.18,10.038258855402646,9.483495418815995,combo_16
EUPWR,2025-10-22,26.02,26.02,10.038258855402646,9.483495418815995,combo_16
EYGYO,2025-10-22,4.65,4.65,10.038258855402646,9.483495418815995,combo_16
FORTE,2025-10-22,72.9,72.9,10.038258855402646,9.483495418815995,combo_16
GIPTA,2025-10-22,121.5,121.5,10.038258855402646,9.483495418815995,combo_16
HATSN,2025-10-22,47.0,47.0,10.038258855402646,9.483495418815995,combo_16
IZENR,2025-10-22,8.36,8.36,10.038258855402646,9.483495418815995,combo_16
KAYSE,2025-10-22,17.8,17.8,10.038258855402646,9.483495418815995,combo_16
KLSER,2025-10-22,28.84,28.84,10.038258855402646,9.483495418815995,combo_16
KOPOL,2025-10-22,6.29,6.29,10.038258855402646,9.483495418815995,combo_16
KTLEV,2025-10-22,12.8,12.8,10.038258855402646,9.483495418815995,combo_16
MEKAG,2025-10-22,4.81,4.81,10.038258855402646,9.483495418815995,combo_16
MHRGY,2025-10-22,3.71,3.71,10.038258855402646,9.483495418815995,combo_16
OFSYM,2025-10-22,75.75,75.75,10.038258855402646,9.483495418815995,combo_16
PLTUR,2025-10-22,24.36,24.36,10.038258855402646,9.483495418815995,combo_16
REEDR,2025-10-22,9.93,9.93,10.038258855402646,9.483495418815995,combo_16
SDTTR,2025-10-22,177.5,177.5,10.038258855402646,9.483495418815995,combo_16
SNICA,2025-10-22,4.87,4.87,10.038258855402646,9.483495418815995,combo_16
SOKE,2025-10-22,11.23,11.23,10.038258855402646,9.483495418815995,combo_16
TARKM,2025-10-22,393.25,393.25,10.038258855402646,9.483495418815995,combo_16
TATEN,2025-10-22,80.0,80.0,10.038258855402646,9.483495418815995,combo_16
TNZTP,2025-10-22,21.6,21.6,10.038258855402646,9.483495418815995,combo_16
ACSEL,2025-10-22,110.5,110.5,10.22527849789748,9.763249426154262,combo_2
AHSGY,2025-10-22,42.66,42.66,10.22527849789748,9.763249426154262,combo_2
AKGRT,2025-10-22,6.6,6.6,10.22527849789748,9.763249426154262,combo_2
ALGYO,2025-10-22,22.38,22.38,10.22527849789748,9.763249426154262,combo_2
ANHYT,2025-10-22,96.95,96.95,10.22527849789748,9.763249426154262,combo_2
