rule_type,conditions,N,Ret_Mean,TopRate,Lift,level
pair,"[{""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}, {""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}]",1113,6.763264046365186,0.22911051212938005,0.12911051212938005,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""EW_CurrentWave_4h"", ""op"": ""=="", ""val"": ""2""}]",446,6.498746913465766,0.226457399103139,0.126457399103139,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""EW_CurrentWave_4h"", ""op"": ""=="", ""val"": ""2""}]",446,6.498746913465766,0.226457399103139,0.126457399103139,pair
pair,"[{""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}, {""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}]",1191,6.598873711072266,0.2258606213266163,0.1258606213266163,pair
pair,"[{""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}, {""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}]",1161,6.625409659498598,0.22566752799310938,0.12566752799310937,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",671,6.774001392680802,0.22503725782414308,0.12503725782414307,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",671,6.774001392680802,0.22503725782414308,0.12503725782414307,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-28 08:00""}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",156,8.870439225103578,0.22435897435897437,0.12435897435897436,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-28 08:00""}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",156,8.870439225103578,0.22435897435897437,0.12435897435897436,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",712,6.63676678814017,0.22331460674157302,0.12331460674157302,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",712,6.63676678814017,0.22331460674157302,0.12331460674157302,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""EW_Phase_4h"", ""op"": ""=="", ""val"": ""Düşüş Başlangıcı""}]",327,5.845470073176339,0.22324159021406728,0.12324159021406728,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""EW_Phase_4h"", ""op"": ""=="", ""val"": ""Düşüş Başlangıcı""}]",345,6.077259802032695,0.22318840579710145,0.12318840579710144,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""EW_Phase_4h"", ""op"": ""=="", ""val"": ""Düşüş Başlangıcı""}]",345,6.077259802032695,0.22318840579710145,0.12318840579710144,pair
pair,"[{""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}, {""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}]",1256,6.457338183089558,0.22213375796178345,0.12213375796178344,pair
pair,"[{""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}, {""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}]",1257,6.461996708529733,0.22195704057279236,0.12195704057279236,pair
pair,"[{""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}, {""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}]",1228,6.548525239510833,0.22149837133550487,0.12149837133550487,pair
pair,"[{""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}, {""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}]",1229,6.553215702832134,0.22131814483319773,0.12131814483319772,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-20 12:00""}, {""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-20 00:00""}]",325,8.767501303220616,0.21846153846153846,0.11846153846153845,pair
pair,"[{""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}, {""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-24 00:00""}]",165,8.837159879422936,0.21818181818181817,0.11818181818181817,pair
pair,"[{""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}, {""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-24 00:00""}]",165,8.837159879422936,0.21818181818181817,0.11818181818181817,pair
pair,"[{""col"": ""EW_Phase_1d"", ""op"": ""=="", ""val"": ""Yükseliş Başlangıcı""}, {""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}]",353,6.381921161079213,0.21813031161473087,0.11813031161473087,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-20 12:00""}, {""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",257,8.76353278816851,0.2178988326848249,0.1178988326848249,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-20 12:00""}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",257,8.76353278816851,0.2178988326848249,0.1178988326848249,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-20 00:00""}, {""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",257,8.76353278816851,0.2178988326848249,0.1178988326848249,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-20 00:00""}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",257,8.76353278816851,0.2178988326848249,0.1178988326848249,pair
